,title,population,visiting_status,datetime_of_data,full_address,bop_region,county,judicial_district,gender
0,FPC ALDERSON,695,Not Suspended,2024-03-25 19:34:07 PDT,"GLEN RAY RD. BOX A, ALDERSON, WV 24910",Mid-Atlantic Region,GREENBRIER,Southern West Virginia,Female
1,FCI ALICEVILLE,"1,569",Not Suspended,2024-03-25 19:34:23 PDT,"11070 HIGHWAY 14, ALICEVILLE, AL 35442",Southeast Region,PICKENS,Northern District of Alabama,Female
2,FCI ALLENWOOD LOW,976,Not Suspended,2024-03-25 19:34:38 PDT,"RT 15,2 MILES N OF ALLENWOOD, ALLENWOOD, PA 17810",Northeast Region,UNION,Middle Pennsylvania,Male
3,FCI ALLENWOOD MEDIUM,"1,272",Suspended,2024-03-25 19:34:54 PDT,"RT 15, 2 MI N OF ALLENWOOD, WHITE DEER, PA 17810",Northeast Region,Union,Middle Pennsylvania,Male
4,USP ALLENWOOD,282,Not Suspended,2024-03-25 19:35:09 PDT,"RT 15,2 MILES N OF ALLENWOOD, ALLENWOOD, PA 17810",Northeast Region,Union,Middle Pennsylvania,Male
5,FCI ASHLAND,"1,300",Not Suspended,2024-03-25 19:35:25 PDT,"ST. ROUTE 716, ASHLAND, KY 41105",Mid-Atlantic Region,BOYD,Eastern Kentucky,Male
6,USP ATLANTA,"1,827",Not Suspended,2024-03-25 19:35:40 PDT,"601 MCDONOUGH BLVD SE, ATLANTA, GA 30315",Southeast Region,FULTON,Northern Georgia,Male
7,USP ATWATER,"1,155",Not Suspended,2024-03-25 19:35:56 PDT,"1 FEDERAL WAY, ATWATER, CA 95301",Western Region,MERCED,Eastern California,Male
8,FCI BASTROP,"1,064",Suspended,2024-03-25 19:36:11 PDT,"1341 HIGHWAY 95 NORTH, BASTROP, TX 78602",South Central Region,Bastrop,Western Texas,Male
9,FCI BEAUMONT LOW,"1,982",Not Suspended,2024-03-25 19:36:27 PDT,"5560 KNAUTH ROAD, BEAUMONT, TX 77705",South Central Region,Jefferson,Eastern Texas,Male
10,FCI BEAUMONT MEDIUM,"1,622",Not Suspended,2024-03-25 19:36:42 PDT,"5830 KNAUTH ROAD, BEAUMONT, TX 77705",South Central Region,Jefferson,Eastern Texas,Male
11,USP BEAUMONT,"1,197",Not Suspended,2024-03-25 19:36:58 PDT,"6200 KNAUTH ROAD, BEAUMONT, TX 77705",South Central Region,Jefferson,Eastern Texas,Male
12,FCI BECKLEY,"1,663",Not Suspended,2024-03-25 19:37:13 PDT,"1600 INDUSTRIAL ROAD, BEAVER, WV 25813",Mid-Atlantic Region,Raleigh,Southern West Virginia,Male
13,FCI BENNETTSVILLE,"1,651",Not Suspended,2024-03-25 19:37:29 PDT,"696 MUCKERMAN ROAD, BENNETTSVILLE, SC 29512",Southeast Region,Marlboro,South Carolina,Male
14,FCI BERLIN,799,Not Suspended,2024-03-25 19:37:45 PDT,"1 SUCCESS LOOP ROAD, BERLIN, NH 03570",Northeast Region,COOS COUNTY,District of New Hampshire,Male
15,USP BIG SANDY,"1,318",Suspended,2024-03-25 19:38:01 PDT,"1197 AIRPORT ROAD, INEZ, KY 41224",Mid-Atlantic Region,Martin,Eastern Kentucky,Male
16,FCI BIG SPRING,"1,045",Not Suspended,2024-03-25 19:38:16 PDT,"1900 SIMLER AVE, BIG SPRING, TX 79720",South Central Region,HOWARD,Northern Texas,Male
17,MDC BROOKLYN,"1,369",Suspended,2024-03-25 19:38:32 PDT,"80 29TH STREET, BROOKLYN, NY 11232",Northeast Region,KINGS,Eastern New York,Male and Female
18,FPC BRYAN,680,Not Suspended,2024-03-25 19:38:48 PDT,"1100 URSULINE AVENUE, BRYAN, TX 77803",South Central Region,BRAZOS,Southern Texas,Female
19,FCI BUTNER MEDIUM II,"1,362",Not Suspended,2024-03-25 19:39:03 PDT,"OLD NC HWY 75, BUTNER, NC 27509",Mid-Atlantic Region,GRANVILLE,Eastern North Carolina,Male
20,FCI BUTNER LOW,941,Not Suspended,2024-03-25 19:39:18 PDT,"OLD NC HWY 75, BUTNER, NC 27509",Mid-Atlantic Region,GRANVILLE,Eastern North Carolina,Male
21,FCI BUTNER MEDIUM I,846,Not Suspended,2024-03-25 19:39:34 PDT,"OLD NC HWY 75, BUTNER, NC 27509",Mid-Atlantic Region,GRANVILLE,Eastern North Carolina,Male
22,FMC BUTNER,835,Not Suspended,2024-03-25 19:39:50 PDT,"OLD N. CAROLINA HWY 75, BUTNER, NC 27509",Mid-Atlantic Region,Granville,Eastern North Carolina,Male
23,USP CANAAN,"1,243",Not Suspended,2024-03-25 19:40:05 PDT,"3057 ERIC J. WILLIAMS, WAYMART, PA 18472",Northeast Region,WAYNE,Middle Pennsylvania,Male
24,FMC CARSWELL,982,Not Suspended,2024-03-25 19:40:22 PDT,"NAVAL AIR STATION, FORT WORTH, TX 76127",South Central Region,TARRANT,Northern Texas,Female
25,MCC CHICAGO,519,Not Suspended,2024-03-25 19:40:37 PDT,"71 WEST VAN BUREN STREET, CHICAGO, IL 60605",North Central Region,COOK,Northern Illinois,Male and Female
26,FCI COLEMAN LOW,"2,060",Not Suspended,2024-03-25 19:40:53 PDT,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Southeast Region,SUMTER,Middle Florida,Male
27,FCI COLEMAN MEDIUM,"1,559",Suspended,2024-03-25 19:41:08 PDT,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Southeast Region,SUMTER,Middle Florida,Male
28,USP COLEMAN II,"1,128",Not Suspended,2024-03-25 19:41:24 PDT,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Southeast Region,SUMTER,Middle Florida,Male
29,USP COLEMAN I,"1,362",Suspended,2024-03-25 19:41:39 PDT,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Southeast Region,SUMTER,Middle Florida,Male
30,FCI CUMBERLAND,"1,046",Not Suspended,2024-03-25 19:41:55 PDT,"14601 BURBRIDGE RD SE, CUMBERLAND, MD 21502",Mid-Atlantic Region,Allegany,Maryland,Male
31,FCI DANBURY,"1,082",Not Suspended,2024-03-25 19:42:10 PDT,"33 1/2 PEMBROKE STATION, DANBURY, CT 06811",Northeast Region,FAIRFIELD,Connecticut,Male and Female
32,FMC DEVENS,919,Not Suspended,2024-03-25 19:42:26 PDT,"42 PATTON ROAD, AYER, MA 01432",Northeast Region,MIDDLESEX,Massachusetts,Male
33,FCI DUBLIN,639,Not Suspended,2024-03-25 19:42:41 PDT,"5701 8TH ST - CAMP PARKS, DUBLIN, CA 94568",Western Region,Alameda,Northern California,Female
